,currency1,currency2,correlation,ratio,zero_crossings
7199,ONT/USDT,XEM/USDT,0.7731700475787524,5.411102048831502,78
997,AR/USDT,IOTA/USDT,0.5864459913938815,43.10363012238423,75
650,ALPHA/USDT,CELR/USDT,0.6621153982606521,7.709876341326524,74
365,ADA/USDT,ZRX/USDT,0.6888694914596682,1.6584359616918811,73
6906,NEO/USDT,OXT/USDT,0.6377365572649452,86.64226043607033,70
7655,SC/USDT,UMA/USDT,0.570162806034238,0.0015212621056636903,68
4299,DGB/USDT,UMA/USDT,0.5904147129599631,0.0038086595166947138,66
4463,DOT/USDT,THETA/USDT,0.7799031066935068,6.116419496891688,65
7651,SC/USDT,TOMO/USDT,0.6998607190256491,0.007742704377090769,65
2999,C98/USDT,TRU/USDT,0.5594386475460503,6.96599329060049,63
5691,ICP/USDT,LINA/USDT,0.6796732024414547,801.2537945200477,63
7649,SC/USDT,THETA/USDT,0.7219307632855934,0.00311617571819025,63
7792,STMX/USDT,XTZ/USDT,0.6920504492279161,0.004906429528988459,63
4301,DGB/USDT,VET/USDT,0.7875475586471348,0.4035803744715959,62
2860,BTS/USDT,NKN/USDT,0.5514671013090929,0.10220921836730709,62
2248,BCH/USDT,NKN/USDT,0.5976981900741428,1269.2862809295773,61
5431,GRT/USDT,KSM/USDT,0.7027191917316694,0.0023772822566943096,61
7181,ONT/USDT,SNX/USDT,0.6669234449286052,0.09989641374034249,60
3614,COTI/USDT,DOT/USDT,0.7011941956910462,0.012868409675024697,60
1447,AUDIO/USDT,KSM/USDT,0.6610777425258471,0.005965605204403675,60
2938,C98/USDT,GRT/USDT,0.7242094779801058,3.7639497823925017,59
6354,LINA/USDT,ZEN/USDT,0.7180556421924231,0.0005973517675965016,59
3440,CKB/USDT,ENJ/USDT,0.5928274769011715,0.008154100971338483,59
3235,CFX/USDT,SKL/USDT,0.5132990919820343,0.9674083846737795,58
7893,THETA/USDT,UMA/USDT,0.5847449493916692,0.48456831517964855,58
1065,ARPA/USDT,BLZ/USDT,0.5825458345948419,0.45085686732382335,58
7184,ONT/USDT,STMX/USDT,0.8068542549283749,31.720727573075436,57
6289,KSM/USDT,XVG/USDT,0.6556821172848272,15367.749837604952,57
7945,TOMO/USDT,ZEN/USDT,0.6771686625402399,0.030204522277586354,57
1824,BAKE/USDT,REN/USDT,0.6356273487705683,1.9534186233173658,57
4200,DENT/USDT,THETA/USDT,0.7466442461337537,0.0008707778001204055,57
1194,ATA/USDT,DOT/USDT,0.666776923550219,0.024368366241232647,57
1505,AUDIO/USDT,XVG/USDT,0.6349813243969875,92.19143932958244,57
4729,ENJ/USDT,STX/USDT,0.6154394548739622,1.2307159345075944,57
159,AAVE/USDT,IOST/USDT,0.7219160544901069,6240.266995120244,57
4026,CVC/USDT,ZEC/USDT,0.5991097272383659,0.0023170767092811064,57
358,ADA/USDT,XTZ/USDT,0.70861088692236,0.31072811198866057,56
983,AR/USDT,ENJ/USDT,0.5917039754344637,21.066824563169504,56
4080,DASH/USDT,OXT/USDT,0.6108097719529673,422.9975923115381,56
463,ALGO/USDT,RSR/USDT,0.6501991343977059,49.16248255182835,56
3873,CTSI/USDT,LRC/USDT,0.5578731690725962,0.3928328521529207,56
30,1INCH/USDT,DOT/USDT,0.6530153894233811,0.09013693988869133,56
1029,AR/USDT,SC/USDT,0.6238732054246967,3100.1986619583877,56
7211,OXT/USDT,QTUM/USDT,0.6131563304928473,0.03472665544022283,55
1188,ATA/USDT,CTSI/USDT,0.7207590787379263,1.1143943101166065,55
201,AAVE/USDT,SNX/USDT,0.7404437114995327,32.18503343101001,55
2866,BTS/USDT,OXT/USDT,0.5952816397921116,0.10058040904197817,54
78,1INCH/USDT,THETA/USDT,0.6107438996065869,0.5525573444174254,54
4309,DGB/USDT,XVS/USDT,0.6236472853718807,0.0020363590379170516,54
2901,BTS/USDT,XTZ/USDT,0.6017190194089206,0.007536729206495603,53
80,1INCH/USDT,TOMO/USDT,0.5630736438745569,1.36531718660624,53
7941,TOMO/USDT,XVG/USDT,0.6446866519362939,111.95289744633627,53
4482,DOT/USDT,ZEN/USDT,0.7512325236656906,0.45643326659255967,53
5809,ICX/USDT,TRU/USDT,0.5670130768122719,3.9434453499624413,53
971,AR/USDT,CHR/USDT,0.5952849726395673,69.70134941245806,53
1495,AUDIO/USDT,TRU/USDT,0.5329194728944896,4.563072468923858,53
5951,IOST/USDT,ZRX/USDT,0.7147454833394455,0.04269777409602923,53
7799,STMX/USDT,ZRX/USDT,0.7834641866076298,0.026633638909984027,53
2831,BTS/USDT,EOS/USDT,0.611900936308578,0.010442969849836807,52
5925,IOST/USDT,STMX/USDT,0.8020969953127414,1.601954297775863,52
1210,ATA/USDT,HOT/USDT,0.6209291690295476,86.81591846512161,51
4127,DENT/USDT,DOT/USDT,0.7272168689455104,0.00014173994714824812,51
4264,DGB/USDT,NKN/USDT,0.6391056205968236,0.10373337100743267,51
3652,COTI/USDT,NKN/USDT,0.5647408026190801,1.0357447610869421,51
1156,ARPA/USDT,XTZ/USDT,0.5707540612801105,0.022081139900332954,51
5611,HOT/USDT,IOTA/USDT,0.7005242676869804,0.007435789080822222,51
7906,THETA/USDT,ZEN/USDT,0.7366954176269965,0.07463661948578482,51
1037,AR/USDT,THETA/USDT,0.5743883526273612,9.725582693930765,51
6231,KSM/USDT,LINA/USDT,0.7042532906253344,6846.624176748335,51
7949,TRB/USDT,UNI/USDT,0.5518456995611133,2.2990611139466677,51
111,AAVE/USDT,BAL/USDT,0.7390655996655289,12.637294780642478,51
1672,AXS/USDT,GRT/USDT,0.6466517113419225,138.7117200094261,50
4675,ENJ/USDT,GTC/USDT,0.5116872296203651,0.23004810357605124,50
3590,COMP/USDT,UMA/USDT,0.5738346063938801,22.265182296471338,50
682,ALPHA/USDT,ICX/USDT,0.7151069472505418,0.5014738979847799,50
3588,COMP/USDT,TRU/USDT,0.6128756309737767,639.0638007241184,50
120,AAVE/USDT,BTS/USDT,0.6537647356328521,6531.56029239937,50
6386,LINK/USDT,RVN/USDT,0.6669109757308678,240.66988168896924,50
962,AR/USDT,BCH/USDT,0.5853959984894191,0.1001730869507163,50
7932,TOMO/USDT,UMA/USDT,0.5588392644667248,0.19597653196311698,50
4639,EGLD/USDT,SOL/USDT,0.65182821016162,1.5279549411335736,50
3680,COTI/USDT,THETA/USDT,0.6827184269712908,0.07933258780918545,50
370,ALGO/USDT,AR/USDT,0.6135174337973904,0.028708358459538598,49
94,1INCH/USDT,ZEN/USDT,0.6117052248738011,0.041390932898022856,49
8035,XEM/USDT,XTZ/USDT,0.6747159818004925,0.028794151164312897,49
28,1INCH/USDT,DENT/USDT,0.5815150016983037,631.8543943062634,49
3630,COTI/USDT,HOT/USDT,0.6738993198616423,45.534811702613155,49
7445,REN/USDT,XVG/USDT,0.6252020120833572,37.2819201926626,49
3781,CRV/USDT,XTZ/USDT,0.6236048428972069,0.7198071381213661,49
399,ALGO/USDT,CTSI/USDT,0.6780161710086215,2.1126305437561674,49
6523,LRC/USDT,SC/USDT,0.5656794631980404,91.50092690586945,49
6308,LINA/USDT,NKN/USDT,0.6597848464053235,0.10490464852329273,49
992,AR/USDT,HBAR/USDT,0.6140512025980849,159.5985285768007,49
1462,AUDIO/USDT,NKN/USDT,0.5780042973632736,4.285673982512295,49
5952,IOTA/USDT,IOTX/USDT,0.5214163464143509,9.63315349525465,49
3682,COTI/USDT,TOMO/USDT,0.6276837061301659,0.19485242049540796,48
23,1INCH/USDT,COTI/USDT,0.5402504694044872,6.81537846467954,48
7757,SOL/USDT,ZEN/USDT,0.692392185800245,2.332211762426409,48
7422,REN/USDT,SKL/USDT,0.6581644276020703,2.7186398116734427,48
6964,NKN/USDT,RVN/USDT,0.5502934830486902,3.7436767921956617,48
6739,MINA/USDT,TOMO/USDT,0.5716381769219601,1.7612098956468545,48
2935,C98/USDT,FLOW/USDT,0.712979128083882,0.23951251345183852,48
5681,ICP/USDT,ICX/USDT,0.6667766919145656,22.593016552551717,48
18,1INCH/USDT,BTS/USDT,0.5264927632870674,70.80931248364465,48
2895,BTS/USDT,VET/USDT,0.6794058111156659,0.3958216432603033,48
818,ANKR/USDT,LPT/USDT,0.53796610929627,0.0028267280383891128,48
1028,AR/USDT,SAND/USDT,0.5160315171162628,10.958219504459343,48
42,1INCH/USDT,HOT/USDT,0.5702557216590161,320.21554152388126,48
5961,IOTA/USDT,LPT/USDT,0.5840716167853358,0.030252531340471074,47
429,ALGO/USDT,IOTX/USDT,0.5305658836417785,11.945880671687387,47
3503,COMP/USDT,COTI/USDT,0.6973501240612776,576.2295430595985,47
3506,COMP/USDT,CTSI/USDT,0.685213383003733,339.819630853397,47
5536,HBAR/USDT,MINA/USDT,0.6683039733831637,0.08463991530689255,47
5278,FLOW/USDT,TRU/USDT,0.5640677504172501,28.321071344603418,47
4585,EGLD/USDT,ENJ/USDT,0.6533771927247566,104.60996078700853,47
1192,ATA/USDT,DGB/USDT,0.6809733963815314,18.971471976148553,47
2378,BLZ/USDT,BTC/USDT,0.6011002678417845,4.321731233467324e-06,47
3456,CKB/USDT,LINA/USDT,0.5871278055458148,0.45753143301825683,47
1263,ATA/USDT,TRU/USDT,0.5328310471496841,2.081237473011337,47
7203,ONT/USDT,XTZ/USDT,0.7240700729589712,0.15589907546223614,47
5569,HBAR/USDT,SXP/USDT,0.7478879102116037,0.16372505220202666,47
314,ADA/USDT,NEO/USDT,0.7579764144359618,0.046860168392644536,47
50,1INCH/USDT,LINA/USDT,0.5843580702637586,68.79254939419937,47
3263,CHR/USDT,EGLD/USDT,0.5784273872687566,0.002660727369968331,47
3253,CHR/USDT,CRV/USDT,0.5689482875951974,0.1681931004952735,46
4683,ENJ/USDT,IOTA/USDT,0.7140742654882418,1.9668627252694093,46
4241,DGB/USDT,HOT/USDT,0.7821214808929637,4.544835719218046,46
731,ALPHA/USDT,SUSHI/USDT,0.6662687349269985,0.09650953959165509,46
3903,CTSI/USDT,SOL/USDT,0.6743418893811204,0.004208804565112751,46
2229,BCH/USDT,IOTX/USDT,0.5327026076915827,4098.550322125142,46
5948,IOST/USDT,ZEC/USDT,0.6422956332137172,0.00022294689509010237,46
5820,ICX/USDT,XVG/USDT,0.6869607364817251,79.4045827214978,46
8017,VET/USDT,XVS/USDT,0.6546815141279858,0.004999775936562109,46
7206,ONT/USDT,YFI/USDT,0.6719193541321576,2.658250234236894e-05,46
2893,BTS/USDT,UMA/USDT,0.533369734119482,0.003744369589002792,46
6481,LPT/USDT,STORJ/USDT,0.5155622583500079,21.831848576560063,46
6007,IOTA/USDT,UMA/USDT,0.5640293642861418,0.10910085784228393,46
4810,EOS/USDT,SNX/USDT,0.6710706649336137,0.46373292854341597,46
976,AR/USDT,CTSI/USDT,0.589478315719159,72.5908336870981,46
2942,C98/USDT,ICP/USDT,0.7026088038305803,0.07660393990556363,46
1032,AR/USDT,SOL/USDT,0.6549231202209066,0.3103053343397972,46
84,1INCH/USDT,VET/USDT,0.6635822641264687,28.410482135762216,46
142,AAVE/USDT,EOS/USDT,0.724939003038484,68.83427002546019,46
5716,ICP/USDT,REN/USDT,0.6265757998725371,47.61548782035574,46
5661,HOT/USDT,TOMO/USDT,0.6504661719009324,0.004233673835380902,45
6350,LINA/USDT,XVG/USDT,0.6889374389339272,2.226334905322595,45
4190,DENT/USDT,SC/USDT,0.7280576663135516,0.27501147300503803,45
6542,LRC/USDT,XTZ/USDT,0.5266883368841512,0.2617544177138848,45
1644,AXS/USDT,C98/USDT,0.6560602350381285,36.300462946126515,45
5788,ICX/USDT,REN/USDT,0.666609515815063,2.0826099603043557,45
6038,IOTX/USDT,XEM/USDT,0.5103780872968557,0.7234487651881616,45
1069,ARPA/USDT,BTS/USDT,0.5738193238872267,2.977324600112846,45
8076,XTZ/USDT,ZRX/USDT,0.6687547845157372,5.308165897749497,45
695,ALPHA/USDT,LRC/USDT,0.5753420339645358,0.3887294674277989,45
2177,BAT/USDT,YFI/USDT,0.5916704499774004,3.37166855837806e-05,45
2032,BAND/USDT,OCEAN/USDT,0.6372583409469378,7.405285245476357,45
438,ALGO/USDT,LRC/USDT,0.5682054271921907,0.796437866218805,45
3299,CHR/USDT,NEO/USDT,0.6346521968960328,0.01837444629447787,45
3669,COTI/USDT,RVN/USDT,0.6313768434112901,3.9952568632547587,45
3114,CELR/USDT,CKB/USDT,0.5392463117394571,4.564944501008211,44
3143,CELR/USDT,ICX/USDT,0.6784545324152169,0.06334527452414844,44
3111,CELR/USDT,CFX/USDT,0.5163634310502601,0.37619085279237047,44
4645,EGLD/USDT,THETA/USDT,0.6772427167520505,47.586498794421104,44
220,AAVE/USDT,XLM/USDT,0.7282240438726241,825.0571174173311,44
7889,THETA/USDT,TOMO/USDT,0.7022423429749979,2.464417277361262,44
3543,COMP/USDT,LINA/USDT,0.6809419765463246,5726.948437188277,44
3090,CELO/USDT,SXP/USDT,0.6616056582473445,2.463987552715121,44
5182,FLM/USDT,REEF/USDT,0.5596635649136518,21.04865659121488,44
6329,LINA/USDT,SOL/USDT,0.6785678258413971,0.00025330838596659847,44
4836,EOS/USDT,ZEC/USDT,0.6301108652845411,0.020505377519260737,44
1002,AR/USDT,LPT/USDT,0.5162478165066068,1.318515304066994,44
5707,ICP/USDT,OMG/USDT,0.6341700402039885,3.648399511342925,44
502,ALICE/USDT,AR/USDT,0.5476494487132765,0.22909083203680047,44
3686,COTI/USDT,UMA/USDT,0.547944451568712,0.038196578795822375,44
6480,LPT/USDT,STMX/USDT,0.6083304620482874,1343.6557112808337,44
4057,DASH/USDT,KEY/USDT,0.5253671778598329,13758.884384464389,44
3699,COTI/USDT,ZEN/USDT,0.6867618577027503,0.0058827731995312405,44
4469,DOT/USDT,UMA/USDT,0.6013786986746216,2.9767548250913096,44
6728,MINA/USDT,SC/USDT,0.6307667359162074,226.8703814565509,44
2238,BCH/USDT,LPT/USDT,0.629960188067182,12.842005241009716,44
3688,COTI/USDT,VET/USDT,0.7471427169038056,4.061018055882668,44
1001,AR/USDT,LINK/USDT,0.617129682273401,2.029119557195485,43
1039,AR/USDT,TOMO/USDT,0.5812845871218209,23.99810255628874,43
3306,CHR/USDT,OXT/USDT,0.6024561567904079,1.6911027878289366,43
253,ADA/USDT,BTS/USDT,0.6454011174570841,40.41728506330478,43
1434,AUDIO/USDT,GRT/USDT,0.690529598077012,2.4894288990407007,43
81,1INCH/USDT,TRU/USDT,0.5755292294718044,7.661833042445346,43
3943,CVC/USDT,ETH/USDT,0.6894577266098155,9.542561793321923e-05,43
4297,DGB/USDT,TRU/USDT,0.5918658556942936,0.10685491599211375,43
4032,DASH/USDT,DOGE/USDT,0.6093634075902686,731.7640764848213,43
6984,NKN/USDT,XVG/USDT,0.5923839060161906,20.68309850404583,43
6259,KSM/USDT,RSR/USDT,0.627783269291532,9507.274973738515,43
564,ALICE/USDT,KSM/USDT,0.6990047819848664,0.040896473068090404,43
6299,LINA/USDT,LRC/USDT,0.5646014558699133,0.022639219173182727,43
1107,ARPA/USDT,LINK/USDT,0.62043819666683,0.004813185302495112,43
2826,BTS/USDT,DGB/USDT,0.6603557097209014,0.9792982948651014,43
874,ANT/USDT,ATOM/USDT,0.5266569909012582,0.18728089491065147,43
5203,FLM/USDT,UNI/USDT,0.5931215688076052,0.02084258567637666,43
4624,EGLD/USDT,OXT/USDT,0.5329706229983392,623.4235183891049,43
4777,EOS/USDT,LINK/USDT,0.7441032536764253,0.15349213322918953,43
520,ALICE/USDT,C98/USDT,0.692941581807076,4.457983838490187,43
4725,ENJ/USDT,SOL/USDT,0.708042419049816,0.014303090356184375,43
7233,OXT/USDT,UMA/USDT,0.5372223688751775,0.03721511094734781,43
525,ALICE/USDT,CKB/USDT,0.5344475104189483,607.9117073788791,43
982,AR/USDT,EGLD/USDT,0.5509680237857159,0.1992354737891751,42
7778,STMX/USDT,THETA/USDT,0.7069001560282495,0.0049746441794294525,42
6491,LPT/USDT,XEM/USDT,0.5498693531818346,231.19245145376914,42
974,AR/USDT,COTI/USDT,0.5822541096253903,120.42283867850816,42
5490,GRT/USDT,XVG/USDT,0.6648126989699461,36.75957399559872,42
4477,DOT/USDT,XTZ/USDT,0.750755928888837,5.949933366084691,42
3292,CHR/USDT,MANA/USDT,0.5800572744329457,0.22140720561807017,42
1881,BAL/USDT,DASH/USDT,0.692857222469079,0.12177007364064527,42
2821,BTS/USDT,CRV/USDT,0.5781190997837103,0.00965029685914207,42
1484,AUDIO/USDT,SOL/USDT,0.6621422411068868,0.010486877504597753,42
5724,ICP/USDT,SKL/USDT,0.6523337606455855,130.80014929219948,42
3512,COMP/USDT,DOT/USDT,0.7637760398419714,7.497105602983178,42
3483,CKB/USDT,STX/USDT,0.5335669030239792,0.010191412124600528,42
2828,BTS/USDT,DOT/USDT,0.6819025907824918,0.0012491973816770498,42
3668,COTI/USDT,RUNE/USDT,0.6507753763394241,0.043212172997426634,42
4642,EGLD/USDT,STX/USDT,0.5907784261620341,130.04535919855851,42
1184,ATA/USDT,COMP/USDT,0.6470543818522569,0.00322338361568034,42
3189,CELR/USDT,SUSHI/USDT,0.6273321562924177,0.012260129314990861,42
5620,HOT/USDT,LPT/USDT,0.5401068261093941,0.0002288102317723151,42
3176,CELR/USDT,REN/USDT,0.676315667296761,0.1344599947122943,42
7617,RVN/USDT,ZEN/USDT,0.684058735722197,0.0014400284121709938,41
7219,OXT/USDT,SC/USDT,0.6349554369204935,24.09941701787931,41
7314,QTUM/USDT,STMX/USDT,0.7388877030310295,431.35426006555184,41
7333,QTUM/USDT,XTZ/USDT,0.7520147939627992,2.1138318816312704,41
3641,COTI/USDT,LINK/USDT,0.7173459356905093,0.016564790799851316,41
7434,REN/USDT,TRU/USDT,0.5506999435365143,1.867205309239644,41
7526,RSR/USDT,SOL/USDT,0.6145642792104391,0.0001820141767080323,41
437,ALGO/USDT,LPT/USDT,0.5737331079761644,0.037583233555615075,41
2435,BLZ/USDT,QTUM/USDT,0.623395478662388,0.022882623618509502,41
3322,CHR/USDT,STMX/USDT,0.6244966305739588,24.85020029678782,41
394,ALGO/USDT,CKB/USDT,0.5700596036057259,74.56057645338022,41
3530,COMP/USDT,HOT/USDT,0.7160824040680234,26620.8015689386,41
7967,TRU/USDT,XVG/USDT,0.6097210383380427,19.790220397322553,41
7956,TRB/USDT,XVS/USDT,0.5648883927230282,2.3090101040074558,41
3289,CHR/USDT,LPT/USDT,0.5195546303078589,0.01849739284002596,41
1006,AR/USDT,MINA/USDT,0.5394347010462376,13.536155009247832,41
2373,BEL/USDT,XVS/USDT,0.5701156939977764,0.09257279098106723,41
6715,MINA/USDT,OXT/USDT,0.5630631048457584,9.254596047075587,41
6975,NKN/USDT,TOMO/USDT,0.5620825603588779,0.18393386329545924,41
5678,HOT/USDT,ZEN/USDT,0.7156462566999592,0.00012794435436602167,41
1098,ARPA/USDT,HOT/USDT,0.6154790780718374,13.414030792638329,41
5240,FLOW/USDT,MINA/USDT,0.6491761135437206,2.8037264584780166,41
6322,LINA/USDT,RSR/USDT,0.6795263461963571,1.372593126551148,41
5115,FIL/USDT,REN/USDT,0.5862419258938442,61.25997105675246,41
4610,EGLD/USDT,LRC/USDT,0.5176097088779271,141.7545002147881,41
4452,DOT/USDT,SC/USDT,0.7385129030873664,1936.001513808913,41
547,ALICE/USDT,FLOW/USDT,0.7113179506036102,1.0643780441999722,41
1803,BAKE/USDT,LRC/USDT,0.5326304166855867,0.7103991126183115,41
2902,BTS/USDT,XVG/USDT,0.6085717327139483,2.135224488423221,41
6978,NKN/USDT,VET/USDT,0.6048273982642279,3.8315181800623463,41
7043,OGN/USDT,RUNE/USDT,0.6056278962582959,0.07964211575374135,41
972,AR/USDT,CKB/USDT,0.512559792388308,2575.221952173435,40
2383,BLZ/USDT,CHR/USDT,0.5796902056002703,0.3599068756577387,40
1941,BAL/USDT,SC/USDT,0.6397187454468855,1250.6843139499333,40
7325,QTUM/USDT,UMA/USDT,0.5763856065113273,1.0570004662075885,40
595,ALICE/USDT,RVN/USDT,0.6715147084950567,111.91979653383018,40
3281,CHR/USDT,IOTX/USDT,0.5933462705306795,5.935490809248995,40
69,1INCH/USDT,SC/USDT,0.5853788985150455,174.81439032955643,40
7165,ONT/USDT,OXT/USDT,0.6380437122359286,2.0740909437728487,40
