,n_trades,sharperatio,max_drawdown,roi,currency1,currency2,ratio,correlation
0,46,6.147754785912855,7.68,262.66,ONT/USDT,XEM/USDT,5.411158473406742,0.7897228245028012
0,46,6.147754785912855,7.68,262.66,ONT/USDT,XEM/USDT,5.411158473406742,0.7897228245028012
0,46,5.62921020271155,13.23,297.91,1INCH/USDT,LINA/USDT,67.86238699637076,0.6096078200559545
0,35,5.108289531697669,12.66,256.1,TOMO/USDT,ZEN/USDT,0.0298319995175481,0.6834658244519514
0,44,5.041032954490266,28.85,374.93,AUDIO/USDT,TRU/USDT,4.561715384951012,0.558025851087665
0,35,4.726852513021612,16.61,287.75,COMP/USDT,XVS/USDT,12.303399630874836,0.6023175471580663
0,43,4.698664122740134,9.85,218.46,1INCH/USDT,DOT/USDT,0.090543107001984,0.6711267543187459
0,33,4.694602221963691,13.92,294.12,CELO/USDT,ICX/USDT,3.1492593121379224,0.6216772545343154
0,39,4.692811824845971,17.21,297.43,ATA/USDT,TRU/USDT,2.095803396583701,0.5653783562641527
0,39,4.5260734512248,9.55,246.28,DENT/USDT,HBAR/USDT,0.0141957381220482,0.7084634660191027
0,47,4.494669390584477,45.27,295.75,BLZ/USDT,EGLD/USDT,0.0010029321516924,0.5884665745835997
0,39,4.462128000682666,13.91,309.58,CKB/USDT,CRV/USDT,0.0048947151415762,0.5714979945889678
0,35,4.326800479024353,12.14,200.35,GRT/USDT,KSM/USDT,0.0023427382774965,0.7216848581941049
0,39,4.320285866080756,11.51,324.16,ALICE/USDT,CKB/USDT,624.2037001292294,0.5482534233995011
0,37,4.296911233018974,14.44,345.77,ICX/USDT,TRU/USDT,3.8203058035474338,0.5550273682305821
0,38,4.241991422821809,15.24,324.47,REN/USDT,TRU/USDT,1.808110427063184,0.5639844655311725
0,36,4.179963896810589,16.16,286.77,BAKE/USDT,REN/USDT,2.026266735907729,0.6513030512077472
0,35,4.070085705138938,20.76,318.76,AR/USDT,GTC/USDT,4.939324029970914,0.5117579496836486
0,36,4.051721686206656,17.67,242.08,TOMO/USDT,UMA/USDT,0.199051168111464,0.586057016626251
0,40,3.9597723249497596,9.29,170.13,1INCH/USDT,VET/USDT,28.16986194944158,0.6848648987755926
0,39,3.8572622331930364,22.85,293.28,LINA/USDT,TRU/USDT,0.1065248594108093,0.6061132748908362
0,40,3.8537400413624354,16.85,268.4,BTS/USDT,NKN/USDT,0.104181547426761,0.5887920205703195
0,40,3.8238976882090374,21.17,281.19,BTS/USDT,UMA/USDT,0.0038102184352558,0.564610117478549
0,41,3.8208049437698715,21.01,250.21,1INCH/USDT,HOT/USDT,319.4577774414836,0.5901204124686679
0,37,3.715227427069276,26.83,328.83,DOT/USDT,UMA/USDT,2.958393662986208,0.6193862233075955
0,35,3.654921876535505,17.74,281.67,ATA/USDT,LINA/USDT,19.23750304809445,0.7389171469093092
0,37,3.636056746683834,20.15,204.36,SC/USDT,TOMO/USDT,0.0076706435858315,0.7220644865908671
0,42,3.6295430094580254,13.54,239.82,OXT/USDT,SC/USDT,23.464175809695814,0.671169729755234
0,34,3.569465221325652,12.72,171.96,BTS/USDT,DGB/USDT,0.9586907179708156,0.696338676235135
0,38,3.5470652001942096,21.72,260.01,SC/USDT,UMA/USDT,0.0015342148879145,0.5924650613652237
0,39,3.5370767448744065,37.92,287.35,SFP/USDT,THETA/USDT,0.2603007710859422,0.5291289371974133
0,30,3.4902813091277727,27.25,232.86,ANT/USDT,ATOM/USDT,0.185233713941564,0.5332015736745961
0,39,3.4730133969550767,10.72,191.4,ONT/USDT,OXT/USDT,2.130373801598971,0.6710859522878765
0,36,3.4582245862068315,25.7,199.65,FLOW/USDT,ICP/USDT,0.3248973058854224,0.6584204179494343
0,37,3.457248425719571,26.94,234.36,AUDIO/USDT,LINA/USDT,41.96061211486965,0.6923874533724934
0,37,3.448640281491601,24.15,236.82,DGB/USDT,UMA/USDT,0.0039419454062139,0.6137999603276736
0,41,3.447177239242353,17.68,215.61,EOS/USDT,SNX/USDT,0.4619554309564597,0.6672198081760168
0,35,3.4229985078817617,17.32,270.67,ATA/USDT,HOT/USDT,90.08729752196348,0.6368557826938718
0,34,3.402729559756319,15.65,167.9,MINA/USDT,SC/USDT,228.39684020688517,0.6200108798830725
0,39,3.401049890960341,26.3,201.1,BTS/USDT,XTZ/USDT,0.0076272070150839,0.6208546694635542
0,37,3.3950552019040368,19.89,245.33,AR/USDT,OXT/USDT,128.276651287101,0.5610511692026937
0,34,3.394725374359722,15.53,236.51,REN/USDT,XVG/USDT,36.33762785204053,0.6367740405559713
0,40,3.3696732047296885,23.63,283.85,AR/USDT,STORJ/USDT,30.392302116171543,0.5692930408898916
0,38,3.3615694489909385,9.71,162.69,BTS/USDT,VET/USDT,0.3996873044158264,0.717082459299602
0,37,3.350640006945485,27.83,264.27,AXS/USDT,TRU/USDT,232.80106027745995,0.5572452252652162
0,38,3.329085447218058,31.66,233.4,TRU/USDT,XVG/USDT,19.94385382201124,0.6161828035386816
0,37,3.2933720423427406,24.61,245.16,CELR/USDT,REN/USDT,0.1291561488478617,0.6515630422821823
0,32,3.284014012399218,19.71,183.59,CELO/USDT,SXP/USDT,2.330400033171407,0.6459136559540423
0,41,3.2822613057573538,26.4,365.24,KEY/USDT,STORJ/USDT,0.0071083148700571,0.565358341352338
0,38,3.275174557970597,30.53,181.8,NEO/USDT,OXT/USDT,91.00039662310252,0.668597256895754
0,29,3.232805314852015,18.74,198.44,IOTA/USDT,UMA/USDT,0.1119461065926206,0.5615195579084943
0,39,3.2317354026870277,21.19,241.77,AR/USDT,THETA/USDT,9.430009641126446,0.5791996329248139
0,41,3.221075359336939,20.09,174.25,DOT/USDT,HOT/USDT,3507.9581028449147,0.7374696062077754
0,42,3.2109820795367687,31.18,175.92,IOST/USDT,ZRX/USDT,0.0448720166353648,0.6806056471173546
0,36,3.207830236642674,19.41,197.55,AUDIO/USDT,ICX/USDT,1.1780619607186658,0.6596298151536847
0,34,3.1949185438949215,24.68,138.01,HBAR/USDT,MINA/USDT,0.0830697568561477,0.6357811251897784
0,31,3.1930996724646206,21.72,236.37,CKB/USDT,STX/USDT,0.0102165611848379,0.5448602591389388
0,38,3.1335940933598594,12.98,185.54,IOST/USDT,SNX/USDT,0.0052277056379643,0.6717059047210541
0,39,3.1217566477943417,57.51,307.91,ARPA/USDT,BLZ/USDT,0.4486157803393149,0.5922993592392076
0,37,3.0918821336899605,26.53,211.17,BAND/USDT,DENT/USDT,1497.0915045766978,0.6538256333487041
0,31,3.064028938104145,15.99,140.59,AUDIO/USDT,THETA/USDT,0.3340091057517369,0.7157650715752042
0,33,3.0446552343724695,14.44,182.65,AUDIO/USDT,KSM/USDT,0.0059997083246763,0.6977312631170508
0,31,3.041655031345777,14.17,196.13,AR/USDT,HBAR/USDT,157.60005118407088,0.6198900303806663
0,40,2.9587600542330432,30.76,192.62,1INCH/USDT,ZEN/USDT,0.0401506281182389,0.637306099335974
0,39,2.9504561220598835,28.03,171.61,DGB/USDT,HOT/USDT,4.697497482592859,0.7898153308741916
0,41,2.950449034660119,13.77,159.52,KSM/USDT,XVG/USDT,15334.485704885885,0.6735465739566548
0,37,2.9379580096460822,25.31,213.4,BLZ/USDT,MKR/USDT,9.262425147195272e-05,0.5373212880343599
0,41,2.921567306716472,17.01,247.51,AR/USDT,CKB/USDT,2605.972916857775,0.5469090563824033
0,31,2.9171766177163576,24.52,257.47,CHR/USDT,LPT/USDT,0.018504496589351,0.524683476345352
0,35,2.9105538079282747,17.64,161.8,DENT/USDT,THETA/USDT,0.0008593043593089,0.7551856508823246
0,42,2.8976347261515194,18.3,157.68,IOST/USDT,XTZ/USDT,0.0082781324433153,0.649045047370565
0,37,2.866729554934551,17.59,174.1,DENT/USDT,ZEN/USDT,6.35149090296173e-05,0.7263859001318062
0,33,2.8661875139090833,32.11,215.21,ICX/USDT,REN/USDT,2.0858133403206907,0.6635381124089692
0,33,2.863315953772916,17.71,180.17,INJ/USDT,THETA/USDT,1.7485595850354652,0.6438648290403206
0,36,2.791230141347198,20.92,265.78,BAKE/USDT,BAND/USDT,0.2064094498170074,0.6007782946506919
0,36,2.7868469966001297,16.7,142.86,BTS/USDT,EOS/USDT,0.0103739036850426,0.649285688989532
0,39,2.7709251694063655,12.59,131.95,DOT/USDT,SC/USDT,1906.0615630968605,0.7465988672418594
0,31,2.761602057504746,13.13,204.93,AR/USDT,ZEN/USDT,0.7000224195653342,0.6081152047226498
0,32,2.7277458941829034,23.09,211.53,AR/USDT,EGLD/USDT,0.2008032947516315,0.5552866672064465
0,40,2.695345171327025,20.36,166.7,GRT/USDT,INJ/USDT,0.0741208968790536,0.6113863507082777
0,37,2.6890288114292007,38.47,257.02,ENJ/USDT,LPT/USDT,0.0635590459407212,0.5551822217086717
0,37,2.681634824498205,28.36,183.75,STMX/USDT,XTZ/USDT,0.0049860103710261,0.6436738905169147
0,36,2.6529545843357574,24.56,178.2,GRT/USDT,XVG/USDT,36.13065728705247,0.680848781451451
0,26,2.6476116666587246,27.22,168.98,DGB/USDT,XVS/USDT,0.0019965635139357,0.64022253063404
0,37,2.6430486467736247,29.15,315.6,DGB/USDT,IOTX/USDT,0.3470105888648511,0.5152669975045078
0,38,2.6138939198901983,44.46,199.61,COMP/USDT,LINA/USDT,6071.310267501638,0.6950814252038497
0,36,2.5712021138564247,26.11,116.44,DOT/USDT,THETA/USDT,5.9362333841202,0.7789508439410504
0,34,2.564806744289645,25.22,225.6,COMP/USDT,TRU/USDT,662.6201007092392,0.6310536480899922
0,34,2.5438489177046173,25.84,163.47,HOT/USDT,ZEN/USDT,0.0001249060282288,0.7163477118204602
0,33,2.5287754824785926,26.97,166.55,EGLD/USDT,OXT/USDT,623.5544041823728,0.5286254162553936
0,36,2.513708394023818,36.35,235.15,DGB/USDT,TRU/USDT,0.1071636146519104,0.6057517186649819
0,37,2.4622289640359667,37.16,211.72,CRV/USDT,STX/USDT,2.0286412928068054,0.5834429577742765
0,40,2.4268746392210803,13.74,126.12,ONT/USDT,XTZ/USDT,0.1570481884211739,0.712834031754412
0,34,2.414962781871322,23.42,150.63,BTS/USDT,DOT/USDT,0.0012755501319346,0.7101929542867117
0,43,2.391099985607109,39.67,234.5,FLM/USDT,NKN/USDT,1.130622328344443,0.553585427037328
0,34,2.3891093714453784,34.73,195.41,COTI/USDT,THETA/USDT,0.0744948155628149,0.6676655032523721
0,31,2.369354703557481,33.85,224.22,HOT/USDT,INJ/USDT,0.0009485932078849,0.5852121043164125
0,35,2.368571838851818,24.34,209.03,ALICE/USDT,AR/USDT,0.2339698399084105,0.5542394351489482
0,29,2.366444889213245,27.5,181.27,NKN/USDT,TOMO/USDT,0.1795204639475671,0.5839776489519378
0,36,2.329938873985985,24.18,172.6,LINA/USDT,XVG/USDT,2.178406058491029,0.7028227541803561
0,30,2.312890239359367,36.66,166.21,ATA/USDT,REEF/USDT,39.7900664470894,0.6438897386878233
0,34,2.3116407128023746,34.34,180.13,SKL/USDT,TRU/USDT,0.6827805374248814,0.620197750713125
0,30,2.2880367551483585,31.64,173.89,1INCH/USDT,UMA/USDT,0.2684641783172174,0.5196339406078527
0,30,2.26577121107455,12.92,119.49,TOMO/USDT,XVG/USDT,110.063642697239,0.6553543753314769
0,35,2.2583073075754125,17.89,114.65,DOT/USDT,IOTA/USDT,25.79276369051955,0.7157529081902941
0,34,2.251806953968833,28.12,188.13,INJ/USDT,MINA/USDT,2.422415297386747,0.526688207399602
0,37,2.2401607217509065,40.85,199.89,BTS/USDT,SNX/USDT,0.0047877947922126,0.6145943479753679
0,36,2.235836899754491,21.27,191.09,AR/USDT,MINA/USDT,13.116411244595554,0.5441668022624983
0,34,2.229172386469878,18.55,227.1,BAND/USDT,INJ/USDT,0.7327916600387419,0.586575684116988
0,35,2.2093440667528337,27.77,202.71,ENJ/USDT,STX/USDT,1.2205545333281953,0.6315705167317465
0,35,2.1889982759869278,37.03,150.7,DGB/USDT,VET/USDT,0.4151080057742633,0.7979146687208734
0,35,2.158524685603832,37.59,190.87,ANKR/USDT,LPT/USDT,0.002883680124383,0.548600795448773
0,38,2.156465330164365,37.71,195.93,HBAR/USDT,STX/USDT,0.167989947821323,0.6674008645861988
0,37,2.1448949240423327,31.43,190.43,BAND/USDT,STX/USDT,3.553630162557214,0.5566722255502968
